source ID,target ID
G0096,T1070.004
G0096,T1071.002
G0096,T1083
G0096,T1105
G0096,T1056.001
G0096,T1003.001
G0096,T1136.001
G0096,T1036.004
G0096,T1036.005
G0096,T1112
G0096,T1104
G0096,T1046
G0096,T1135
G0096,T1027
G0096,T1110.002
G0096,T1059.001
G0096,T1055
G0096,T1090
G0096,T1547.001
G0096,T1021.001
G0096,T1496
G0096,T1014
G0096,T1218.011
G0096,T1021.002
G0096,T1053.005
G0096,T1569.002
G0096,T1566.001
G0096,T1016
G0096,T1049
G0096,T1033
G0096,T1588.002
G0096,T1059.004
G0096,T1078
G0096,T1071.001
G0096,T1059.003
G0096,T1047
G0096,T1543.003
G0130,T1555.003
G0130,T1105
G0130,T1056.001
G0130,T1204.002
G0130,T1566.001
G0130,T1566.003
G0138,T1005
G0138,T1189
G0138,T1203
G0138,T1590.005
G0138,T1105
G0138,T1204.002
G0138,T1588.001
G0138,T1057
G0138,T1592.002
G0138,T1566.001
G0138,T1027.003
G0138,T1049
G0001,T1546.008
G0001,T1001
G0001,T1190
G0001,T1003
G0001,T1021.001
G0001,T1001.002
G0060,T1560.001
G0060,T1053.002
G0060,T1027.001
G0060,T1548.002
G0060,T1574.002
G0060,T1005
G0060,T1039
G0060,T1102.001
G0060,T1140
G0060,T1562.001
G0060,T1087.002
G0060,T1189
G0060,T1203
G0060,T1070.004
G0060,T1083
G0060,T1105
G0060,T1003.001
G0060,T1204.002
G0060,T1036
G0060,T1036.005
G0060,T1550.003
G0060,T1059.001
G0060,T1059.006
G0060,T1547.001
G0060,T1018
G0060,T1036.002
G0060,T1053.005
G0060,T1113
G0060,T1518
G0060,T1566.001
G0060,T1132.001
G0060,T1027.003
G0060,T1573.001
G0060,T1007
G0060,T1124
G0060,T1080
G0060,T1588.002
G0060,T1059.005
G0060,T1071.001
G0060,T1059.003
G0135,T1574.001
G0135,T1055.001
G0135,T1190
G0135,T1105
G0135,T1074.001
G0135,T1588.001
G0135,T1036.004
G0135,T1036.005
G0135,T1046
G0135,T1095
G0135,T1027
G0135,T1120
G0135,T1049
G0135,T1588.002
G0135,T1505.003
G0063,T1027
G0098,T1574.002
G0098,T1190
G0098,T1203
G0098,T1204.002
G0098,T1204.001
G0098,T1036.002
G0098,T1566.001
G0098,T1566.002
G0108,T1134
G0108,T1574.012
G0108,T1190
G0108,T1003.001
G0108,T1036.005
G0108,T1112
G0108,T1027
G0108,T1059.001
G0108,T1090
G0108,T1218.010
G0108,T1021.001
G0108,T1496
